timestamp,datetime,dynamics.fl_steer_angle
1750299993.833146,2025-06-18 21:26:33.833,2.536
1750299993.845987,2025-06-18 21:26:33.845,2.584
1750299993.857623,2025-06-18 21:26:33.857,2.628
1750299993.870326,2025-06-18 21:26:33.870,2.677
1750299993.88254,2025-06-18 21:26:33.882,2.723
1750299993.894351,2025-06-18 21:26:33.894,2.767
1750299993.9069738,2025-06-18 21:26:33.906,2.815
1750299993.919604,2025-06-18 21:26:33.919,2.862
1750299993.932209,2025-06-18 21:26:33.932,2.9090000000000003
1750299993.944778,2025-06-18 21:26:33.944,2.956
1750299993.9573529,2025-06-18 21:26:33.957,3.0020000000000002
1750299993.9680488,2025-06-18 21:26:33.968,3.0420000000000003
1750299993.9806452,2025-06-18 21:26:33.980,3.088
1750299993.9932559,2025-06-18 21:26:33.993,3.1350000000000002
1750299994.0058439,2025-06-18 21:26:34.005,3.181
1750299994.016603,2025-06-18 21:26:34.016,3.221
1750299994.027344,2025-06-18 21:26:34.027,3.2600000000000002
1750299994.038371,2025-06-18 21:26:34.038,3.3000000000000003
1750299994.049512,2025-06-18 21:26:34.049,3.341
1750299994.0602272,2025-06-18 21:26:34.060,3.38
1750299994.072785,2025-06-18 21:26:34.072,3.4250000000000003
1750299994.085388,2025-06-18 21:26:34.085,3.47
1750299994.0979688,2025-06-18 21:26:34.097,3.516
1750299994.110541,2025-06-18 21:26:34.110,3.561
1750299994.1231449,2025-06-18 21:26:34.123,3.606
1750299994.135733,2025-06-18 21:26:34.135,3.6510000000000002
1750299994.1482959,2025-06-18 21:26:34.148,3.696
1750299994.1591082,2025-06-18 21:26:34.159,3.734
1750299994.171662,2025-06-18 21:26:34.171,3.778
1750299994.182045,2025-06-18 21:26:34.182,3.815
1750299994.194577,2025-06-18 21:26:34.194,3.859
1750299994.207107,2025-06-18 21:26:34.207,3.903
1750299994.21966,2025-06-18 21:26:34.219,3.946
1750299994.2322218,2025-06-18 21:26:34.232,3.99
1750299994.244779,2025-06-18 21:26:34.244,4.033
1750299994.257309,2025-06-18 21:26:34.257,4.077
1750299994.2683089,2025-06-18 21:26:34.268,4.114
1750299994.2808902,2025-06-18 21:26:34.280,4.157
1750299994.2910159,2025-06-18 21:26:34.291,4.192
1750299994.303633,2025-06-18 21:26:34.303,4.235
1750299994.316271,2025-06-18 21:26:34.316,4.2780000000000005
1750299994.3288891,2025-06-18 21:26:34.328,4.32
1750299994.341493,2025-06-18 21:26:34.341,4.363
1750299994.354126,2025-06-18 21:26:34.354,4.405
