timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed
1750307713.370677,2025-06-18 23:35:13.370,-38.0,0.007,2.3506,30.810000000000002
1750307713.3828712,2025-06-18 23:35:13.382,13.0,0.008,2.5928,29.1
1750307713.396688,2025-06-18 23:35:13.396,-47.0,0.008,2.346,29.34
1750307713.410502,2025-06-18 23:35:13.410,-34.5,0.004,2.126,31.080000000000002
1750307713.4242969,2025-06-18 23:35:13.424,9.0,0.007,2.5598,32.35
1750307713.438124,2025-06-18 23:35:13.438,-33.0,0.007,2.7784,29.72
1750307713.4519181,2025-06-18 23:35:13.451,32.0,0.007,2.9656000000000002,30.75
1750307713.46574,2025-06-18 23:35:13.465,-47.0,0.005,2.1134,32.71
1750307713.479327,2025-06-18 23:35:13.479,-46.0,0.006,2.5908,30.39
1750307713.493239,2025-06-18 23:35:13.493,47.5,0.002,2.9846000000000004,32.97
1750307713.507057,2025-06-18 23:35:13.507,-32.5,0.0,2.8440000000000003,31.86
1750307713.520898,2025-06-18 23:35:13.520,9.0,0.008,2.5474,32.07
1750307713.5347142,2025-06-18 23:35:13.534,-14.0,0.005,2.1538,33.17
1750307713.5470688,2025-06-18 23:35:13.547,33.5,0.002,2.2252,30.11
1750307713.560909,2025-06-18 23:35:13.560,46.5,0.005,2.5352,29.44
1750307713.572582,2025-06-18 23:35:13.572,7.5,0.003,2.0914,30.44
1750307713.5864298,2025-06-18 23:35:13.586,-21.5,0.006,2.4,29.94
1750307713.6002061,2025-06-18 23:35:13.600,-6.0,0.009000000000000001,2.6544000000000003,29.53
1750307713.6125371,2025-06-18 23:35:13.612,3.0,0.003,2.4782,32.22
1750307713.626446,2025-06-18 23:35:13.626,-34.0,0.008,2.5300000000000002,30.14
1750307713.6403341,2025-06-18 23:35:13.640,-32.0,0.0,2.8920000000000003,32.78
1750307713.654182,2025-06-18 23:35:13.654,-2.5,0.006,2.8236000000000003,32.12
1750307713.667978,2025-06-18 23:35:13.667,-30.5,0.001,2.532,32.52
1750307713.681769,2025-06-18 23:35:13.681,-7.5,0.0,2.283,29.87
1750307713.695673,2025-06-18 23:35:13.695,-37.0,0.005,2.587,33.21
1750307713.709583,2025-06-18 23:35:13.709,-12.0,0.005,2.6126,29.68
1750307713.723409,2025-06-18 23:35:13.723,25.5,0.004,2.5902000000000003,31.310000000000002
1750307713.7372081,2025-06-18 23:35:13.737,10.5,0.001,2.5974,29.68
1750307713.7504718,2025-06-18 23:35:13.750,30.5,0.002,2.6414,32.77
1750307713.765365,2025-06-18 23:35:13.765,1.5,0.004,2.1092,33.18
1750307713.7791512,2025-06-18 23:35:13.779,49.0,0.007,2.0868,31.12
1750307713.791224,2025-06-18 23:35:13.791,8.0,0.001,2.9546,33.62
1750307713.805002,2025-06-18 23:35:13.805,43.5,0.004,2.5348,32.83
1750307713.8166249,2025-06-18 23:35:13.816,41.5,0.0,2.2806,30.95
1750307713.8305001,2025-06-18 23:35:13.830,29.5,0.006,2.7532,31.37
1750307713.844343,2025-06-18 23:35:13.844,-41.0,0.0,2.954,30.14
1750307713.858142,2025-06-18 23:35:13.858,45.0,0.008,2.2952,33.85
1750307713.871949,2025-06-18 23:35:13.871,26.0,0.008,2.2226,31.14
1750307713.885744,2025-06-18 23:35:13.885,-27.0,0.002,2.492,30.09
1750307713.899563,2025-06-18 23:35:13.899,16.5,0.004,2.9968000000000004,33.29
1750307713.912461,2025-06-18 23:35:13.912,30.5,0.002,2.9844,33.1
1750307713.9241369,2025-06-18 23:35:13.924,-16.0,0.006,2.2702,32.480000000000004
1750307713.938915,2025-06-18 23:35:13.938,14.5,0.002,2.1494,31.990000000000002
1750307713.9528131,2025-06-18 23:35:13.952,12.5,0.0,2.4224,32.4
1750307713.966656,2025-06-18 23:35:13.966,3.0,0.006,2.1074,30.8
1750307713.980505,2025-06-18 23:35:13.980,-16.5,0.002,2.8278000000000003,31.150000000000002
