timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed
1750307529.019592,2025-06-18 23:32:09.019,1.0,0.0,2.1614,30.44
1750307529.0339189,2025-06-18 23:32:09.033,26.0,0.001,2.8602000000000003,32.02
1750307529.048197,2025-06-18 23:32:09.048,12.0,0.007,2.0146,30.67
1750307529.062135,2025-06-18 23:32:09.062,-21.5,0.009000000000000001,2.198,32.0
1750307529.0741289,2025-06-18 23:32:09.074,-27.5,0.002,2.8906,32.61
1750307529.0879328,2025-06-18 23:32:09.087,-33.5,0.008,2.6646,30.970000000000002
1750307529.101731,2025-06-18 23:32:09.101,-27.0,0.008,2.757,30.37
1750307529.115511,2025-06-18 23:32:09.115,5.5,0.007,2.6106000000000003,32.38
1750307529.129261,2025-06-18 23:32:09.129,-16.5,0.007,2.4764,30.25
1750307529.1430311,2025-06-18 23:32:09.143,-46.5,0.008,2.5956,31.42
1750307529.156854,2025-06-18 23:32:09.156,-45.5,0.004,2.8598000000000003,32.15
1750307529.170708,2025-06-18 23:32:09.170,27.0,0.009000000000000001,2.6718,30.51
1750307529.184452,2025-06-18 23:32:09.184,39.0,0.004,2.2884,29.580000000000002
1750307529.198281,2025-06-18 23:32:09.198,-40.5,0.009000000000000001,2.5782000000000003,30.650000000000002
1750307529.212076,2025-06-18 23:32:09.212,44.0,0.001,2.8722000000000003,31.51
1750307529.237589,2025-06-18 23:32:09.237,-36.5,0.008,2.0502000000000002,31.48
1750307529.251741,2025-06-18 23:32:09.251,2.5,0.005,2.5306,30.21
1750307529.265558,2025-06-18 23:32:09.265,37.0,0.005,2.1506000000000003,33.11
1750307529.279316,2025-06-18 23:32:09.279,-13.0,0.003,2.5394,30.59
1750307529.29151,2025-06-18 23:32:09.291,-32.5,0.007,2.1912000000000003,32.06
1750307529.307337,2025-06-18 23:32:09.307,16.5,0.008,2.666,32.22
1750307529.3211079,2025-06-18 23:32:09.321,49.0,0.0,2.353,30.38
1750307529.3348632,2025-06-18 23:32:09.334,-19.5,0.007,2.8606000000000003,32.57
1750307529.34865,2025-06-18 23:32:09.348,35.0,0.004,2.4604,32.4
1750307529.3624241,2025-06-18 23:32:09.362,43.5,0.007,2.6176,32.06
1750307529.37619,2025-06-18 23:32:09.376,36.5,0.002,2.4388,31.5
1750307529.389925,2025-06-18 23:32:09.389,26.0,0.002,2.25,31.27
1750307529.403667,2025-06-18 23:32:09.403,28.0,0.0,2.0216000000000003,31.73
1750307529.417388,2025-06-18 23:32:09.417,-25.0,0.009000000000000001,2.5498000000000003,32.63
1750307529.4311008,2025-06-18 23:32:09.431,-36.5,0.004,2.6804,31.3
1750307529.442712,2025-06-18 23:32:09.442,33.5,0.005,2.9564000000000004,32.62
1750307529.4565382,2025-06-18 23:32:09.456,7.0,0.005,2.6436,30.86
1750307529.470388,2025-06-18 23:32:09.470,-47.0,0.003,2.6494,33.64
1750307529.48302,2025-06-18 23:32:09.483,-11.0,0.008,2.31,32.480000000000004
1750307529.496821,2025-06-18 23:32:09.496,-30.5,0.006,2.3322000000000003,31.2
1750307529.50838,2025-06-18 23:32:09.508,16.5,0.008,2.1256,33.84
1750307529.522381,2025-06-18 23:32:09.522,47.5,0.0,2.8412,30.04
1750307529.533824,2025-06-18 23:32:09.533,-8.5,0.006,2.2866,32.71
1750307529.547641,2025-06-18 23:32:09.547,47.5,0.006,2.952,32.46
1750307529.586655,2025-06-18 23:32:09.586,11.0,0.004,2.5474,33.32
1750307529.600689,2025-06-18 23:32:09.600,22.5,0.007,2.7162,32.14
1750307529.6131468,2025-06-18 23:32:09.613,43.5,0.001,2.2596000000000003,33.76
1750307529.626134,2025-06-18 23:32:09.626,-12.5,0.008,2.6908000000000003,31.62
1750307529.639947,2025-06-18 23:32:09.639,-26.0,0.0,2.9644,30.16
1750307529.66639,2025-06-18 23:32:09.666,30.0,0.005,2.645,31.26
1750307529.680141,2025-06-18 23:32:09.680,39.0,0.004,2.6350000000000002,32.06
1750307529.692502,2025-06-18 23:32:09.692,5.0,0.004,2.8456,33.18
1750307529.706263,2025-06-18 23:32:09.706,-32.0,0.0,2.1392,31.13
1750307529.718702,2025-06-18 23:32:09.718,-33.0,0.003,2.1216,32.88
1750307529.7324831,2025-06-18 23:32:09.732,-42.0,0.006,2.92,33.6
1750307529.746274,2025-06-18 23:32:09.746,49.0,0.005,2.7664,32.43
1750307529.7597141,2025-06-18 23:32:09.759,16.5,0.007,2.5916,33.43
1750307529.773479,2025-06-18 23:32:09.773,-21.5,0.009000000000000001,2.7470000000000003,32.07
1750307529.787372,2025-06-18 23:32:09.787,-39.5,0.009000000000000001,2.3108,34.25
1750307529.801204,2025-06-18 23:32:09.801,24.5,0.006,2.3328,30.86
1750307529.814958,2025-06-18 23:32:09.814,18.0,0.001,2.8474,32.31
1750307529.828757,2025-06-18 23:32:09.828,33.0,0.006,2.3924000000000003,33.79
1750307529.841185,2025-06-18 23:32:09.841,-25.0,0.002,2.0856,31.19
1750307529.8551779,2025-06-18 23:32:09.855,15.5,0.007,2.5838,33.75
1750307529.868942,2025-06-18 23:32:09.868,-27.5,0.005,2.3196000000000003,32.85
1750307529.8827252,2025-06-18 23:32:09.882,-6.0,0.008,2.0246,33.53
1750307529.896506,2025-06-18 23:32:09.896,21.0,0.002,2.7406,30.740000000000002
1750307529.922039,2025-06-18 23:32:09.922,-20.0,0.007,2.2018,34.37
1750307529.9345431,2025-06-18 23:32:09.934,33.5,0.009000000000000001,2.5626,33.69
1750307529.9484742,2025-06-18 23:32:09.948,45.5,0.006,2.8758000000000004,31.14
1750307529.960948,2025-06-18 23:32:09.960,45.5,0.003,2.7588,33.87
1750307529.974754,2025-06-18 23:32:09.974,40.0,0.006,2.9236,31.68
1750307529.988574,2025-06-18 23:32:09.988,2.5,0.002,2.4178,31.48
1750307530.0002759,2025-06-18 23:32:10.000,15.0,0.008,2.1402,32.230000000000004
1750307530.014088,2025-06-18 23:32:10.014,-44.5,0.009000000000000001,2.3280000000000003,31.05
1750307530.050595,2025-06-18 23:32:10.050,-36.0,0.0,2.5792,33.19
1750307530.0631459,2025-06-18 23:32:10.063,-45.5,0.0,2.6272,31.42
1750307530.076135,2025-06-18 23:32:10.076,22.0,0.002,2.8854,32.35
1750307530.0901709,2025-06-18 23:32:10.090,-43.5,0.002,2.4290000000000003,31.63
1750307530.1026392,2025-06-18 23:32:10.102,1.0,0.003,2.1742,34.67
1750307530.1151109,2025-06-18 23:32:10.115,-7.5,0.002,2.959,34.78
1750307530.128926,2025-06-18 23:32:10.128,46.0,0.008,2.8800000000000003,33.730000000000004
1750307530.141539,2025-06-18 23:32:10.141,35.0,0.001,2.9048000000000003,34.44
1750307530.1553438,2025-06-18 23:32:10.155,44.0,0.0,2.2110000000000003,31.48
1750307530.169137,2025-06-18 23:32:10.169,2.5,0.004,2.2942,31.64
1750307530.182985,2025-06-18 23:32:10.182,-35.0,0.007,2.3956,33.83
1750307530.195441,2025-06-18 23:32:10.195,-43.5,0.0,2.2986,34.27
1750307530.209125,2025-06-18 23:32:10.209,-13.5,0.009000000000000001,2.5596,33.33
1750307530.222935,2025-06-18 23:32:10.222,-45.5,0.005,2.3154,32.45
1750307530.235882,2025-06-18 23:32:10.235,29.0,0.0,2.013,35.13
1750307530.248202,2025-06-18 23:32:10.248,20.5,0.009000000000000001,2.8904,33.660000000000004
1750307530.273877,2025-06-18 23:32:10.273,22.0,0.007,2.8852,35.31
1750307530.286797,2025-06-18 23:32:10.286,-7.5,0.008,2.6994000000000002,32.08
1750307530.300624,2025-06-18 23:32:10.300,-46.5,0.007,2.4632,34.83
1750307530.3144262,2025-06-18 23:32:10.314,-33.5,0.005,2.2738,32.21
1750307530.328313,2025-06-18 23:32:10.328,25.5,0.007,2.478,33.65
1750307530.342387,2025-06-18 23:32:10.342,28.0,0.005,2.2334,34.92
1750307530.356631,2025-06-18 23:32:10.356,-28.0,0.002,2.04,32.95
