timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed
1750308056.16803,2025-06-18 23:40:56.168,0.0,0.0,0.0,32.79
1750308056.181806,2025-06-18 23:40:56.181,0.0,0.0,0.0,30.2
1750308056.1936278,2025-06-18 23:40:56.193,0.0,0.0,0.0,30.150000000000002
1750308056.207635,2025-06-18 23:40:56.207,0.0,0.0,0.0,31.89
1750308056.22143,2025-06-18 23:40:56.221,0.0,0.0,0.0,29.63
1750308056.2349179,2025-06-18 23:40:56.234,0.0,0.0,0.0,30.36
1750308056.248721,2025-06-18 23:40:56.248,0.0,0.0,0.0,30.560000000000002
1750308056.2604852,2025-06-18 23:40:56.260,0.0,0.0,0.0,29.1
1750308056.272042,2025-06-18 23:40:56.272,0.0,0.0,0.0,29.66
1750308056.2849321,2025-06-18 23:40:56.284,0.0,0.0,0.0,29.400000000000002
1750308056.29872,2025-06-18 23:40:56.298,0.0,0.0,0.0,30.01
1750308056.3124712,2025-06-18 23:40:56.312,0.0,0.0,0.0,32.660000000000004
1750308056.32623,2025-06-18 23:40:56.326,0.0,0.0,0.0,30.96
1750308056.3376052,2025-06-18 23:40:56.337,0.0,0.0,0.0,30.94
1750308056.3514109,2025-06-18 23:40:56.351,0.0,0.0,0.0,32.36
1750308056.3634958,2025-06-18 23:40:56.363,0.0,0.0,0.0,32.05
1750308056.375948,2025-06-18 23:40:56.375,0.0,0.0,0.0,30.57
1750308056.389751,2025-06-18 23:40:56.389,0.0,0.0,0.0,29.55
1750308056.403538,2025-06-18 23:40:56.403,0.0,0.0,0.0,29.64
1750308056.4154701,2025-06-18 23:40:56.415,0.0,0.0,0.0,29.560000000000002
1750308056.42923,2025-06-18 23:40:56.429,0.0,0.0,0.0,32.25
1750308056.442972,2025-06-18 23:40:56.442,0.0,0.0,0.0,32.9
1750308056.456735,2025-06-18 23:40:56.456,0.0,0.0,0.0,31.310000000000002
1750308056.4704762,2025-06-18 23:40:56.470,0.0,0.0,0.0,30.42
1750308056.484252,2025-06-18 23:40:56.484,0.0,0.0,0.0,30.400000000000002
1750308056.498004,2025-06-18 23:40:56.498,0.0,0.0,0.0,32.94
1750308056.510261,2025-06-18 23:40:56.510,0.0,0.0,0.0,31.98
1750308056.524086,2025-06-18 23:40:56.524,0.0,0.0,0.0,31.28
1750308056.536375,2025-06-18 23:40:56.536,0.0,0.0,0.0,33.5
1750308056.548717,2025-06-18 23:40:56.548,0.0,0.0,0.0,32.75
1750308056.560299,2025-06-18 23:40:56.560,0.0,0.0,0.0,31.73
1750308056.574108,2025-06-18 23:40:56.574,0.0,0.0,0.0,32.51
1750308056.587861,2025-06-18 23:40:56.587,0.0,0.0,0.0,31.32
1750308056.6016252,2025-06-18 23:40:56.601,0.0,0.0,0.0,31.27
1750308056.615395,2025-06-18 23:40:56.615,0.0,0.0,0.0,31.51
1750308056.6269262,2025-06-18 23:40:56.626,0.0,0.0,0.0,31.14
1750308056.640667,2025-06-18 23:40:56.640,0.0,0.0,0.0,31.240000000000002
1750308056.654179,2025-06-18 23:40:56.654,0.0,0.0,0.0,31.88
1750308056.66798,2025-06-18 23:40:56.667,0.0,0.0,0.0,32.43
1750308056.681758,2025-06-18 23:40:56.681,0.0,0.0,0.0,32.660000000000004
1750308056.695571,2025-06-18 23:40:56.695,0.0,0.0,0.0,32.74
1750308056.707988,2025-06-18 23:40:56.707,0.0,0.0,0.0,33.160000000000004
1750308056.720334,2025-06-18 23:40:56.720,0.0,0.0,0.0,31.04
1750308056.734123,2025-06-18 23:40:56.734,0.0,0.0,0.0,32.15
1750308056.746731,2025-06-18 23:40:56.746,0.0,0.0,0.0,30.89
1750308056.760332,2025-06-18 23:40:56.760,0.0,0.0,0.0,33.97
1750308056.774404,2025-06-18 23:40:56.774,0.0,0.0,0.0,31.88
1750308056.788214,2025-06-18 23:40:56.788,0.0,0.0,0.0,31.84
1750308056.802021,2025-06-18 23:40:56.802,0.0,0.0,0.0,30.6
1750308056.8148658,2025-06-18 23:40:56.814,0.0,0.0,0.0,32.96
1750308056.82726,2025-06-18 23:40:56.827,0.0,0.0,0.0,30.59
1750308056.8396711,2025-06-18 23:40:56.839,0.0,0.0,0.0,30.330000000000002
