timestamp,datetime,diagnostics_low.batt_over_c,diagnostics_low.bmb_comm_error,diagnostics_low.cell_damaged,diagnostics_low.cell_open_wire,diagnostics_low.cell_over_v,diagnostics_low.cell_under_v,diagnostics_low.imd_gnd_isolation_error,diagnostics_low.precharge_fail,diagnostics_low.shutdown_leg1,diagnostics_low.shutdown_leg2,diagnostics_low.shutdown_leg3,diagnostics_low.shutdown_leg4,diagnostics_low.thermistor_damaged,diagnostics_low.tractive_contactor_error,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed,pack.cell_bottom_temp,pack.cell_top_temp,pack.hv_c,pack.hv_pack_v,pack.hv_soc
1750309803.265103,2025-06-19 00:10:03.265,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,32.9,35.0,25.0,655.35,444.0,79.71000000000001
1750309803.28108,2025-06-19 00:10:03.281,,,,,,,,,,,,,,,0.0,0.0,0.0,30.05,,,,,
1750309803.294827,2025-06-19 00:10:03.294,,,,,,,,,,,,,,,0.0,0.0,0.0,30.04,,,,,
1750309803.308705,2025-06-19 00:10:03.308,,,,,,,,,,,,,,,0.0,0.0,0.0,33.62,,,,,
1750309803.322568,2025-06-19 00:10:03.322,,,,,,,,,,,,,,,0.0,0.0,0.0,30.76,,,,,
1750309803.336472,2025-06-19 00:10:03.336,,,,,,,,,,,,,,,0.0,0.0,0.0,30.28,,,,,
1750309803.3484008,2025-06-19 00:10:03.348,,,,,,,,,,,,,,,0.0,0.0,0.0,30.17,,,,,
1750309803.3622348,2025-06-19 00:10:03.362,,,,,,,,,,,,,,,0.0,0.0,0.0,31.28,,,,,
1750309803.376339,2025-06-19 00:10:03.376,False,False,0,0,0,0,False,False,True,True,True,True,0,False,0.0,0.0,0.0,31.970000000000002,37.0,27.0,655.35,439.0,80.23
1750309803.3903518,2025-06-19 00:10:03.390,,,,,,,,,,,,,,,0.0,0.0,0.0,33.75,,,,,
1750309803.404212,2025-06-19 00:10:03.404,,,,,,,,,,,,,,,0.0,0.0,0.0,33.5,,,,,
1750309803.4180539,2025-06-19 00:10:03.418,,,,,,,,,,,,,,,0.0,0.0,0.0,32.86,,,,,
1750309803.4311948,2025-06-19 00:10:03.431,,,,,,,,,,,,,,,0.0,0.0,0.0,32.19,,,,,
1750309803.445445,2025-06-19 00:10:03.445,,,,,,,,,,,,,,,0.0,0.0,0.0,33.71,,,,,
1750309803.459368,2025-06-19 00:10:03.459,,,,,,,,,,,,,,,0.0,0.0,0.0,31.01,,,,,
1750309803.473235,2025-06-19 00:10:03.473,,,,,,,,,,,,,,,0.0,0.0,0.0,30.98,,,,,
1750309803.487267,2025-06-19 00:10:03.487,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,30.57,37.0,25.0,655.35,441.0,79.78
1750309803.503964,2025-06-19 00:10:03.503,,,,,,,,,,,,,,,0.0,0.0,0.0,30.060000000000002,,,,,
1750309803.517856,2025-06-19 00:10:03.517,,,,,,,,,,,,,,,0.0,0.0,0.0,32.31,,,,,
1750309803.5312698,2025-06-19 00:10:03.531,,,,,,,,,,,,,,,0.0,0.0,0.0,33.31,,,,,
1750309803.545356,2025-06-19 00:10:03.545,,,,,,,,,,,,,,,0.0,0.0,0.0,30.85,,,,,
1750309803.559272,2025-06-19 00:10:03.559,,,,,,,,,,,,,,,0.0,0.0,0.0,30.95,,,,,
1750309803.573287,2025-06-19 00:10:03.573,,,,,,,,,,,,,,,0.0,0.0,0.0,31.5,,,,,
1750309803.5872781,2025-06-19 00:10:03.587,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,31.3,37.0,25.0,655.35,444.0,80.12
1750309803.600768,2025-06-19 00:10:03.600,,,,,,,,,,,,,,,0.0,0.0,0.0,30.47,,,,,
1750309803.614412,2025-06-19 00:10:03.614,,,,,,,,,,,,,,,0.0,0.0,0.0,31.52,,,,,
1750309803.6272829,2025-06-19 00:10:03.627,,,,,,,,,,,,,,,0.0,0.0,0.0,32.83,,,,,
1750309803.6404428,2025-06-19 00:10:03.640,,,,,,,,,,,,,,,0.0,0.0,0.0,32.04,,,,,
1750309803.654262,2025-06-19 00:10:03.654,,,,,,,,,,,,,,,0.0,0.0,0.0,33.68,,,,,
1750309803.668051,2025-06-19 00:10:03.668,,,,,,,,,,,,,,,0.0,0.0,0.0,34.27,,,,,
1750309803.681798,2025-06-19 00:10:03.681,,,,,,,,,,,,,,,0.0,0.0,0.0,31.69,,,,,
1750309803.693789,2025-06-19 00:10:03.693,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,32.14,37.0,28.0,655.35,437.0,79.67
1750309803.705311,2025-06-19 00:10:03.705,,,,,,,,,,,,,,,0.0,0.0,0.0,31.64,,,,,
1750309803.719151,2025-06-19 00:10:03.719,,,,,,,,,,,,,,,0.0,0.0,0.0,33.78,,,,,
1750309803.7310221,2025-06-19 00:10:03.731,,,,,,,,,,,,,,,0.0,0.0,0.0,32.5,,,,,
1750309803.744877,2025-06-19 00:10:03.744,,,,,,,,,,,,,,,0.0,0.0,0.0,33.660000000000004,,,,,
1750309803.7587352,2025-06-19 00:10:03.758,,,,,,,,,,,,,,,0.0,0.0,0.0,30.91,,,,,
1750309803.776903,2025-06-19 00:10:03.776,,,,,,,,,,,,,,,0.0,0.0,0.0,31.35,,,,,
1750309803.7906911,2025-06-19 00:10:03.790,,,,,,,,,,,,,,,0.0,0.0,0.0,33.82,,,,,
1750309803.8058329,2025-06-19 00:10:03.805,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,30.76,36.0,27.0,655.35,440.0,80.18
1750309803.819583,2025-06-19 00:10:03.819,,,,,,,,,,,,,,,0.0,0.0,0.0,33.22,,,,,
1750309803.8315141,2025-06-19 00:10:03.831,,,,,,,,,,,,,,,0.0,0.0,0.0,31.310000000000002,,,,,
1750309803.845472,2025-06-19 00:10:03.845,,,,,,,,,,,,,,,0.0,0.0,0.0,34.15,,,,,
1750309803.8575308,2025-06-19 00:10:03.857,,,,,,,,,,,,,,,0.0,0.0,0.0,31.650000000000002,,,,,
1750309803.869361,2025-06-19 00:10:03.869,,,,,,,,,,,,,,,0.0,0.0,0.0,32.84,,,,,
1750309803.881015,2025-06-19 00:10:03.881,,,,,,,,,,,,,,,0.0,0.0,0.0,31.060000000000002,,,,,
1750309803.893717,2025-06-19 00:10:03.893,,,,,,,,,,,,,,,0.0,0.0,0.0,34.300000000000004,,,,,
1750309803.907739,2025-06-19 00:10:03.907,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,32.42,34.0,29.0,655.35,443.0,81.15
1750309803.921752,2025-06-19 00:10:03.921,,,,,,,,,,,,,,,0.0,0.0,0.0,34.64,,,,,
1750309803.935625,2025-06-19 00:10:03.935,,,,,,,,,,,,,,,0.0,0.0,0.0,34.300000000000004,,,,,
1750309803.948425,2025-06-19 00:10:03.948,,,,,,,,,,,,,,,0.0,0.0,0.0,31.52,,,,,
1750309803.962286,2025-06-19 00:10:03.962,,,,,,,,,,,,,,,0.0,0.0,0.0,32.31,,,,,
1750309803.976167,2025-06-19 00:10:03.976,,,,,,,,,,,,,,,0.0,0.0,0.0,33.32,,,,,
1750309803.989897,2025-06-19 00:10:03.989,,,,,,,,,,,,,,,0.0,0.0,0.0,31.23,,,,,
1750309804.0036092,2025-06-19 00:10:04.003,,,,,,,,,,,,,,,0.0,0.0,0.0,33.92,,,,,
1750309804.017375,2025-06-19 00:10:04.017,True,False,0,0,0,0,False,False,True,True,True,True,0,False,0.0,0.0,0.0,32.52,35.0,26.0,655.35,444.0,79.9
1750309804.031431,2025-06-19 00:10:04.031,,,,,,,,,,,,,,,0.0,0.0,0.0,32.11,,,,,
1750309804.045259,2025-06-19 00:10:04.045,,,,,,,,,,,,,,,0.0,0.0,0.0,33.1,,,,,
1750309804.059073,2025-06-19 00:10:04.059,,,,,,,,,,,,,,,0.0,0.0,0.0,32.74,,,,,
1750309804.072254,2025-06-19 00:10:04.072,,,,,,,,,,,,,,,0.0,0.0,0.0,33.44,,,,,
1750309804.086497,2025-06-19 00:10:04.086,,,,,,,,,,,,,,,0.0,0.0,0.0,33.89,,,,,
1750309804.0999749,2025-06-19 00:10:04.099,,,,,,,,,,,,,,,0.0,0.0,0.0,33.06,,,,,
1750309804.11169,2025-06-19 00:10:04.111,,,,,,,,,,,,,,,0.0,0.0,0.0,35.08,,,,,
1750309804.123904,2025-06-19 00:10:04.123,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,33.85,35.0,27.0,655.35,443.0,80.2
1750309804.137917,2025-06-19 00:10:04.137,,,,,,,,,,,,,,,0.0,0.0,0.0,34.88,,,,,
1750309804.151785,2025-06-19 00:10:04.151,,,,,,,,,,,,,,,0.0,0.0,0.0,32.8,,,,,
1750309804.164386,2025-06-19 00:10:04.164,,,,,,,,,,,,,,,0.0,0.0,0.0,33.06,,,,,
1750309804.180654,2025-06-19 00:10:04.180,,,,,,,,,,,,,,,0.0,0.0,0.0,31.86,,,,,
1750309804.194627,2025-06-19 00:10:04.194,,,,,,,,,,,,,,,0.0,0.0,0.0,34.12,,,,,
1750309804.208525,2025-06-19 00:10:04.208,,,,,,,,,,,,,,,0.0,0.0,0.0,34.34,,,,,
1750309804.222089,2025-06-19 00:10:04.222,,,,,,,,,,,,,,,0.0,0.0,0.0,32.29,,,,,
1750309804.23556,2025-06-19 00:10:04.235,True,False,1,1,1,1,False,False,True,True,True,True,1,False,0.0,0.0,0.0,35.27,36.0,27.0,655.35,436.0,80.22
