timestamp,datetime,dynamics.fl_pushrod_stress,dynamics.fl_spring_displace,dynamics.fl_strain_gauge_v,dynamics.flw_speed,pack.cell_bottom_temp,pack.cell_top_temp,pack.hv_c,pack.hv_pack_v,pack.hv_soc
1750308105.344964,2025-06-18 23:41:45.344,0.0,0.0,0.0,32.56,36.0,24.0,655.35,444.0,80.21000000000001
1750308105.360048,2025-06-18 23:41:45.360,0.0,0.0,0.0,30.09,,,,,
1750308105.3738189,2025-06-18 23:41:45.373,0.0,0.0,0.0,32.89,,,,,
1750308105.387713,2025-06-18 23:41:45.387,0.0,0.0,0.0,29.69,,,,,
1750308105.4015942,2025-06-18 23:41:45.401,0.0,0.0,0.0,32.74,,,,,
1750308105.415464,2025-06-18 23:41:45.415,0.0,0.0,0.0,31.85,,,,,
1750308105.429213,2025-06-18 23:41:45.429,0.0,0.0,0.0,31.93,,,,,
1750308105.443029,2025-06-18 23:41:45.443,0.0,0.0,0.0,33.02,,,,,
1750308105.456865,2025-06-18 23:41:45.456,0.0,0.0,0.0,30.7,34.0,26.0,655.35,443.0,79.61
1750308105.470772,2025-06-18 23:41:45.470,0.0,0.0,0.0,32.87,,,,,
1750308105.4845152,2025-06-18 23:41:45.484,0.0,0.0,0.0,33.22,,,,,
1750308105.49825,2025-06-18 23:41:45.498,0.0,0.0,0.0,29.740000000000002,,,,,
1750308105.50994,2025-06-18 23:41:45.509,0.0,0.0,0.0,32.57,,,,,
1750308105.52372,2025-06-18 23:41:45.523,0.0,0.0,0.0,31.6,,,,,
1750308105.53743,2025-06-18 23:41:45.537,0.0,0.0,0.0,31.92,,,,,
1750308105.551141,2025-06-18 23:41:45.551,0.0,0.0,0.0,31.66,,,,,
1750308105.564912,2025-06-18 23:41:45.564,0.0,0.0,0.0,33.33,36.0,27.0,655.35,442.0,79.5
1750308105.5777721,2025-06-18 23:41:45.577,0.0,0.0,0.0,32.47,,,,,
1750308105.590071,2025-06-18 23:41:45.590,0.0,0.0,0.0,32.63,,,,,
1750308105.60381,2025-06-18 23:41:45.603,0.0,0.0,0.0,33.12,,,,,
1750308105.617546,2025-06-18 23:41:45.617,0.0,0.0,0.0,32.92,,,,,
1750308105.631281,2025-06-18 23:41:45.631,0.0,0.0,0.0,31.57,,,,,
1750308105.64332,2025-06-18 23:41:45.643,0.0,0.0,0.0,30.38,,,,,
1750308105.6570702,2025-06-18 23:41:45.657,0.0,0.0,0.0,32.97,,,,,
1750308105.670809,2025-06-18 23:41:45.670,0.0,0.0,0.0,31.310000000000002,34.0,28.0,655.35,443.0,80.75
1750308105.684566,2025-06-18 23:41:45.684,0.0,0.0,0.0,30.8,,,,,
1750308105.698486,2025-06-18 23:41:45.698,0.0,0.0,0.0,32.12,,,,,
1750308105.721527,2025-06-18 23:41:45.721,0.0,0.0,0.0,31.01,,,,,
1750308105.739208,2025-06-18 23:41:45.739,0.0,0.0,0.0,31.92,,,,,
1750308105.752605,2025-06-18 23:41:45.752,0.0,0.0,0.0,32.24,,,,,
1750308105.766528,2025-06-18 23:41:45.766,0.0,0.0,0.0,29.900000000000002,,,,,
1750308105.779729,2025-06-18 23:41:45.779,0.0,0.0,0.0,32.54,36.0,26.0,655.35,440.0,80.0
1750308105.7910552,2025-06-18 23:41:45.791,0.0,0.0,0.0,29.990000000000002,,,,,
1750308105.802476,2025-06-18 23:41:45.802,0.0,0.0,0.0,30.04,,,,,
1750308105.816261,2025-06-18 23:41:45.816,0.0,0.0,0.0,33.78,,,,,
1750308105.827842,2025-06-18 23:41:45.827,0.0,0.0,0.0,32.03,,,,,
1750308105.839957,2025-06-18 23:41:45.839,0.0,0.0,0.0,33.29,,,,,
1750308105.853706,2025-06-18 23:41:45.853,0.0,0.0,0.0,30.28,,,,,
1750308105.866998,2025-06-18 23:41:45.866,0.0,0.0,0.0,30.68,,,,,
1750308105.880793,2025-06-18 23:41:45.880,0.0,0.0,0.0,31.16,35.0,28.0,655.35,444.0,79.56
1750308105.894339,2025-06-18 23:41:45.894,0.0,0.0,0.0,32.5,,,,,
1750308105.9080691,2025-06-18 23:41:45.908,0.0,0.0,0.0,30.91,,,,,
1750308105.921803,2025-06-18 23:41:45.921,0.0,0.0,0.0,30.54,,,,,
1750308105.9355352,2025-06-18 23:41:45.935,0.0,0.0,0.0,30.92,,,,,
1750308105.949385,2025-06-18 23:41:45.949,0.0,0.0,0.0,33.94,,,,,
1750308105.963139,2025-06-18 23:41:45.963,0.0,0.0,0.0,33.660000000000004,,,,,
1750308105.976278,2025-06-18 23:41:45.976,0.0,0.0,0.0,31.44,,,,,
1750308105.990123,2025-06-18 23:41:45.990,0.0,0.0,0.0,33.04,37.0,27.0,655.35,442.0,80.72
1750308106.003175,2025-06-18 23:41:46.003,0.0,0.0,0.0,32.28,,,,,
1750308106.016075,2025-06-18 23:41:46.016,0.0,0.0,0.0,32.97,,,,,
1750308106.029859,2025-06-18 23:41:46.029,0.0,0.0,0.0,33.64,,,,,
1750308106.043375,2025-06-18 23:41:46.043,0.0,0.0,0.0,34.11,,,,,
1750308106.057247,2025-06-18 23:41:46.057,0.0,0.0,0.0,33.24,,,,,
1750308106.0709918,2025-06-18 23:41:46.070,0.0,0.0,0.0,34.09,,,,,
1750308106.084084,2025-06-18 23:41:46.084,0.0,0.0,0.0,33.34,,,,,
1750308106.097852,2025-06-18 23:41:46.097,0.0,0.0,0.0,32.52,37.0,28.0,655.35,436.0,81.01
1750308106.1099598,2025-06-18 23:41:46.109,0.0,0.0,0.0,33.79,,,,,
1750308106.1237178,2025-06-18 23:41:46.123,0.0,0.0,0.0,30.560000000000002,,,,,
1750308106.1374679,2025-06-18 23:41:46.137,0.0,0.0,0.0,33.24,,,,,
1750308106.1511989,2025-06-18 23:41:46.151,0.0,0.0,0.0,30.63,,,,,
1750308106.1649878,2025-06-18 23:41:46.164,0.0,0.0,0.0,32.15,,,,,
1750308106.178968,2025-06-18 23:41:46.178,0.0,0.0,0.0,31.63,,,,,
1750308106.1929758,2025-06-18 23:41:46.192,0.0,0.0,0.0,33.64,,,,,
1750308106.2094321,2025-06-18 23:41:46.209,0.0,0.0,0.0,31.080000000000002,35.0,26.0,655.35,438.0,81.42
1750308106.224105,2025-06-18 23:41:46.224,0.0,0.0,0.0,31.720000000000002,,,,,
1750308106.2390049,2025-06-18 23:41:46.239,0.0,0.0,0.0,33.36,,,,,
1750308106.257726,2025-06-18 23:41:46.257,0.0,0.0,0.0,33.0,,,,,
1750308106.270609,2025-06-18 23:41:46.270,0.0,0.0,0.0,34.35,,,,,
1750308106.286607,2025-06-18 23:41:46.286,0.0,0.0,0.0,31.16,,,,,
1750308106.3045871,2025-06-18 23:41:46.304,0.0,0.0,0.0,33.45,,,,,
1750308106.323949,2025-06-18 23:41:46.323,0.0,0.0,0.0,32.77,34.0,28.0,655.35,438.0,81.27
1750308106.3466141,2025-06-18 23:41:46.346,0.0,0.0,0.0,34.72,,,,,
1750308106.3607612,2025-06-18 23:41:46.360,0.0,0.0,0.0,32.86,,,,,
1750308106.3750348,2025-06-18 23:41:46.375,0.0,0.0,0.0,33.49,,,,,
1750308106.389861,2025-06-18 23:41:46.389,0.0,0.0,0.0,32.410000000000004,,,,,
1750308106.401954,2025-06-18 23:41:46.401,0.0,0.0,0.0,31.76,,,,,
1750308106.4139898,2025-06-18 23:41:46.413,0.0,0.0,0.0,31.28,,,,,
1750308106.4276469,2025-06-18 23:41:46.427,0.0,0.0,0.0,32.980000000000004,36.0,27.0,655.35,445.0,80.2
1750308106.441761,2025-06-18 23:41:46.441,0.0,0.0,0.0,32.12,,,,,
1750308106.456512,2025-06-18 23:41:46.456,0.0,0.0,0.0,33.77,,,,,
1750308106.468683,2025-06-18 23:41:46.468,0.0,0.0,0.0,31.41,,,,,
1750308106.482562,2025-06-18 23:41:46.482,0.0,0.0,0.0,34.25,,,,,
1750308106.4987788,2025-06-18 23:41:46.498,0.0,0.0,0.0,32.76,,,,,
1750308106.521893,2025-06-18 23:41:46.521,0.0,0.0,0.0,31.88,,,,,
1750308106.536021,2025-06-18 23:41:46.536,0.0,0.0,0.0,34.300000000000004,34.0,27.0,655.35,439.0,80.37
1750308106.550055,2025-06-18 23:41:46.550,0.0,0.0,0.0,31.63,,,,,
